0m12.532s,0m12.625s,0m13.040s,0m12.669s,0m12.647s,0m12.548s,0m12.427s,0m12.326s,0m12.515s,0m12.663s
2m9.211s,2m4.201s,2m3.476s,2m7.017s,2m4.494s,2m11.147s,2m4.460s,2m3.362s,2m2.817s,2m3.496s
22m2.605s,21m57.092s,22m15.779s,22m1.300s,21m22.418s,20m39.040s,19m34.032s,18m48.224s,18m8.833s,18m14.830s
0m12.879s,0m13.353s,0m13.054s,0m13.004s,0m12.954s,0m14.171s,0m12.701s,0m12.943s,0m12.679s,0m12.854s
2m10.489s,2m9.004s,2m4.151s,2m6.824s,2m10.487s,2m6.781s,2m5.743s,2m9.938s,2m8.480s,2m3.175s
21m52.516s,21m59.732s,21m57.499s,21m56.682s,21m8.814s,20m47.257s,19m50.530s,18m57.125s,18m17.701s,18m3.748s
0m21.326s,0m20.701s,0m19.540s,0m21.359s,0m20.420s,0m20.518s,0m20.114s,0m19.924s,0m19.234s,0m20.874s
2m22.617s,2m22.732s,2m16.538s,2m20.365s,2m22.687s,2m16.635s,2m16.885s,2m25.668s,2m12.763s,2m16.502s
23m46.956s,23m41.387s,22m40.121s,21m52.265s,21m55.626s,20m55.648s,19m39.592s,18m42.821s,18m23.575s,18m59.734s
0m21.103s,0m21.169s,0m20.475s,0m22.615s,0m20.224s,0m20.611s,0m20.482s,0m20.387s,0m18.394s,0m20.440s
2m20.653s,2m22.171s,2m24.341s,2m14.674s,2m18.779s,2m18.861s,2m24.573s,2m20.768s,2m8.505s,2m10.306s
23m23.868s,23m54.683s,22m51.265s,22m8.451s,21m49.831s,21m13.487s,20m1.984s,18m53.441s,18m13.759s,18m9.986s
0m20.105s,0m20.181s,0m23.359s,0m28.262s,0m19.889s,0m20.454s,0m20.381s,0m20.455s,0m19.880s,0m20.484s
2m29.483s,2m33.638s,2m30.399s,2m29.443s,2m28.616s,2m37.693s,2m34.897s,2m31.750s,2m15.057s,2m14.357s
27m14.119s,27m57.941s,22m24.744s,22m10.364s,21m42.400s,20m15.033s,19m31.797s,18m36.673s,18m13.866s,18m20.127s
0m21.882s,0m21.699s,0m23.950s,0m27.146s,0m20.161s,0m20.203s,0m20.587s,0m20.118s,0m20.139s,0m20.258s
2m31.254s,2m32.271s,2m38.410s,2m37.105s,2m31.323s,2m31.068s,2m43.948s,2m10.303s,2m12.431s,2m10.425s
29m42.355s,22m54.314s,22m1.667s,21m13.685s,20m27.271s,19m55.413s,19m8.281s,18m36.396s,18m8.122s,18m10.116s