0m34.397s,0m18.279s,0m25.908s,0m25.285s,0m21.429s,0m16.702s,0m19.602s,0m16.649s,0m17.288s,0m17.540s
0m34.416s,0m39.381s,0m31.928s,0m36.166s,0m38.248s,0m29.974s,0m29.775s,0m29.282s,0m32.553s,0m37.167s
0m34.346s,3m6.390s,3m12.757s,3m20.629s,2m48.870s,2m20.029s,1m39.004s,1m3.823s,0m35.412s,0m29.089s
0m34.316s,0m19.782s,0m20.391s,0m21.715s,0m21.479s,0m17.449s,0m22.064s,0m16.483s,0m17.837s,0m16.357s
0m30.417s,0m31.524s,0m33.284s,0m31.798s,0m35.985s,0m27.719s,0m29.921s,0m28.672s,0m28.650s,0m34.871s
2m56.574s,2m59.243s,2m42.452s,2m40.639s,2m22.326s,1m55.845s,1m31.228s,0m47.659s,0m32.274s,0m27.393s
0m35.263s,0m23.633s,0m24.709s,0m25.249s,0m24.123s,0m22.063s,0m22.631s,0m22.222s,0m21.775s,0m22.046s
0m35.049s,1m10.014s,1m10.916s,1m13.252s,1m13.461s,1m2.649s,1m1.953s,1m0.674s,1m1.495s,1m3.817s
0m35.049s,8m19.600s,8m24.739s,9m9.288s,8m59.440s,26m54.371s,14m25.719s,3m57.943s,4m3.134s,3m15.248s
0m35.101s,0m26.221s,0m26.220s,0m28.979s,0m28.904s,0m22.144s,0m20.747s,0m21.016s,0m21.228s,0m21.045s
0m57.139s,0m48.721s,0m51.084s,0m48.540s,0m52.081s,0m47.785s,0m49.924s,0m48.280s,0m48.500s,0m49.309s
0m35.089s,4m43.536s,4m40.202s,4m44.800s,4m50.335s,4m36.467s,4m21.101s,3m26.511s,2m29.044s,2m12.994s
0m22.792s,0m23.338s,0m23.621s,0m23.555s,0m23.868s,0m21.394s,0m21.614s,0m21.476s,0m21.565s,0m21.505s
0m35.682s,0m55.478s,0m56.782s,1m2.169s,0m59.200s,0m44.680s,0m44.534s,0m44.606s,0m47.138s,0m44.976s
0m35.463s,5m37.677s,5m40.181s,6m17.220s,6m23.976s,4m44.728s,4m43.593s,11m39.769s,5m52.286s,4m31.247s
0m35.409s,0m26.414s,0m26.779s,0m29.168s,0m28.677s,0m20.773s,0m21.218s,0m25.812s,0m21.075s,0m21.297s
0m35.329s,0m39.774s,0m43.030s,0m43.795s,0m47.471s,0m38.018s,0m38.146s,0m42.333s,0m38.165s,0m38.349s
5m0.216s,3m1.777s,3m4.780s,3m7.198s,3m6.315s,3m3.681s,3m2.104s,3m32.962s,2m45.195s,2m24.729s